product_id,batch_id,name,brand,category,subcategory,retailer,market,article_number,price,currency,dimensions,availability,official_url,verified_on
BAYTI-0127,BATCH-06,"SANDSBERG Table, black, 110x67 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,294.203.93,,,,,https://www.ikea.com/sa/en/p/sandsberg-table-black-s29420393/,2026-07-16
BAYTI-0128,BATCH-06,"SANDSBERG Table, black, 67x67 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,594.204.00,,,,,https://www.ikea.com/sa/en/p/sandsberg-table-black-s59420400/,2026-07-16
BAYTI-0129,BATCH-06,"ÅLHULT Table, beige/brown, 80x74 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,205.979.18,,,,,https://www.ikea.com/sa/en/p/alhult-table-beige-brown-20597918/,2026-07-16
BAYTI-0130,BATCH-06,"ÅLHULT Table, black/brown, 80x74 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,706.007.96,,,,,https://www.ikea.com/sa/en/p/alhult-table-black-brown-70600796/,2026-07-16
BAYTI-0131,BATCH-06,"HAUGA Table, white/birch veneer, 74x74 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,905.767.19,,,,,https://www.ikea.com/sa/en/p/hauga-table-white-birch-veneer-90576719/,2026-07-16
BAYTI-0132,BATCH-06,"HAUGA Table, grey/birch veneer, 74x74 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,705.767.20,,,,,https://www.ikea.com/sa/en/p/hauga-table-grey-birch-veneer-70576720/,2026-07-16
BAYTI-0133,BATCH-06,"SKANSNÄS Extendable table, brown beech/veneer, 115/170 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,705.632.37,,,,,https://www.ikea.com/sa/en/p/skansnaes-extendable-table-brown-beech-veneer-70563237/,2026-07-16
BAYTI-0134,BATCH-06,"MÖRBYLÅNGA Table, oak veneer brown stained, 140x85 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,503.862.45,,,,,https://www.ikea.com/sa/en/p/moerbylanga-table-oak-veneer-brown-stained-50386245/,2026-07-16
BAYTI-0135,BATCH-06,"DANDERYD Dining table, pine veneer/black, 130x80 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,604.431.46,,,,,https://www.ikea.com/sa/en/p/danderyd-dining-table-pine-veneer-black-60443146/,2026-07-16
BAYTI-0136,BATCH-06,"ROSENTORP Extendable table, white, 110/155 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,805.682.39,,,,,https://www.ikea.com/sa/en/p/rosentorp-extendable-table-white-80568239/,2026-07-16
BAYTI-0137,BATCH-06,"ROSENTORP Extendable table, black, 110/155 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,605.682.64,,,,,https://www.ikea.com/sa/en/p/rosentorp-extendable-table-black-60568264/,2026-07-16
BAYTI-0138,BATCH-06,"TONSTAD Table, brown stained oak veneer, 150x80 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,405.999.40,,,,,https://www.ikea.com/sa/en/p/tonstad-table-brown-stained-oak-veneer-40599940/,2026-07-16
BAYTI-0139,BATCH-06,"TONSTAD Table, off-white, 150x80 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,605.999.39,,,,,https://www.ikea.com/sa/en/p/tonstad-table-off-white-60599939/,2026-07-16
BAYTI-0140,BATCH-06,"VIHALS Table, white/white, 125x74 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,395.785.09,,,,,https://www.ikea.com/sa/en/p/vihals-table-white-white-s39578509/,2026-07-16
BAYTI-0141,BATCH-06,"VIHALS Table, green/green, 125x74 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,195.785.10,,,,,https://www.ikea.com/sa/en/p/vihals-table-green-green-s19578510/,2026-07-16
BAYTI-0142,BATCH-06,"VIHALS Table, white/green, 125x74 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,795.785.12,,,,,https://www.ikea.com/sa/en/p/vihals-table-white-green-s79578512/,2026-07-16
BAYTI-0143,BATCH-06,"VIHALS Table, green/white, 125x74 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,995.785.11,,,,,https://www.ikea.com/sa/en/p/vihals-table-green-white-s99578511/,2026-07-16
BAYTI-0144,BATCH-06,"ÅLHULT Table, black/brown, 120x80 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,406.007.93,,,,,https://www.ikea.com/sa/en/p/alhult-table-black-brown-40600793/,2026-07-16
BAYTI-0145,BATCH-06,"ÅLHULT Table, beige/brown, 120x80 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,005.979.19,,,,,https://www.ikea.com/sa/en/p/alhult-table-beige-brown-00597919/,2026-07-16
BAYTI-0146,BATCH-06,"ÅLHULT Extendable table, black/brown, 120/170x80 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,206.007.89,,,,,https://www.ikea.com/sa/en/p/alhult-extendable-table-black-brown-20600789/,2026-07-16
BAYTI-0147,BATCH-06,"ÅLHULT Extendable table, beige/brown, 120/170x80 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,605.979.21,,,,,https://www.ikea.com/sa/en/p/alhult-extendable-table-beige-brown-60597921/,2026-07-16
BAYTI-0148,BATCH-06,"PINNTORP Table, light brown stained/white stained pine, 125x75 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,305.294.67,,,,,https://www.ikea.com/sa/en/p/pinntorp-table-light-brown-stained-white-stained-pine-30529467/,2026-07-16
BAYTI-0149,BATCH-06,"LISABO Table, black/ash veneer, 140x78 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,803.824.39,,,,,https://www.ikea.com/sa/en/p/lisabo-table-black-ash-veneer-80382439/,2026-07-16
BAYTI-0150,BATCH-06,"LISABO Table, ash veneer, 140x78 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,702.943.39,,,,,https://www.ikea.com/sa/en/p/lisabo-table-ash-veneer-70294339/,2026-07-16
BAYTI-0151,BATCH-06,"SKOGSTA Dining table, acacia/black, 235x100 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,704.192.64,,,,,https://www.ikea.com/sa/en/p/skogsta-dining-table-acacia-black-70419264/,2026-07-16
BAYTI-0152,BATCH-06,"PINNTORP Gateleg table, light brown stained/white stained pine, 67/124x75 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,705.294.65,,,,,https://www.ikea.com/sa/en/p/pinntorp-gateleg-table-light-brown-stained-white-stained-pine-70529465/,2026-07-16
BAYTI-0153,BATCH-06,"BERGSHYTTAN Table, dark brown ash veneer, 240x93 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,406.082.42,,,,,https://www.ikea.com/sa/en/p/bergshyttan-table-dark-brown-ash-veneer-40608242/,2026-07-16
BAYTI-0154,BATCH-06,"ÅLHULT Table, black/brown, 170x80 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,806.007.86,,,,,https://www.ikea.com/sa/en/p/alhult-table-black-brown-80600786/,2026-07-16
BAYTI-0155,BATCH-06,"MÖRBYLÅNGA Table, oak veneer brown stained, 220x100 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,202.937.66,,,,,https://www.ikea.com/sa/en/p/moerbylanga-table-oak-veneer-brown-stained-20293766/,2026-07-16
BAYTI-0156,BATCH-06,"HAUGA Table, white/birch veneer, 118x74 cm",IKEA,Dining room,Dining table,IKEA Saudi Arabia,Saudi Arabia,005.767.09,,,,,https://www.ikea.com/sa/en/p/hauga-table-white-birch-veneer-00576709/,2026-07-16
