product_id,batch_id,name,brand,category,subcategory,retailer,market,article_number,price,currency,dimensions,availability,official_url,verified_on
BAYTI-0217,BATCH-09,Lyon Coffee Table Solid Wood - Natural,Pan Home,Living room,Coffee table,Pan Home Saudi Arabia,Saudi Arabia,041FHH0500002,,,,,https://www.panhomestores.com/ksa_en/lyon-coffee-table-solid-wood-natural-041fhh0500002,2026-07-16
BAYTI-0218,BATCH-09,Orion Modular Coffee Table - Black/Walnut,Pan Home,Living room,Coffee table,Pan Home Saudi Arabia,Saudi Arabia,011BUNDLESSK15,,,,,https://www.panhomestores.com/ksa_en/orion-modular-coffee-table-leg-veneer-with-modular-coffee-table-top-black-walnut-011bundlessk15,2026-07-16
BAYTI-0219,BATCH-09,Vault Coffee Table Set 1+2 - Gold,Pan Home,Living room,Coffee table set,Pan Home Saudi Arabia,Saudi Arabia,041MHW2400018,,,,,https://www.panhomestores.com/ksa_en/vault-coffee-table-set-1-2-gold-041mhw2400018,2026-07-16
BAYTI-0220,BATCH-09,Vernon Accent Chair,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033JSF1400012,,,,,https://www.panhomestores.com/ksa_en/vernon-accent-chair-033jsf1400012,2026-07-16
BAYTI-0221,BATCH-09,Teles Coffee Table - Beige,Pan Home,Living room,Coffee table,Pan Home Saudi Arabia,Saudi Arabia,041MFG1000025,,,,,https://www.panhomestores.com/ksa_en/teles-coffee-table-beige-041mfg1000025,2026-07-16
BAYTI-0222,BATCH-09,Adila 6 Seater Dining Table - Grey Black,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023HRB2000056,,,,,https://www.panhomestores.com/ksa_en/adila-6-seater-dining-table-grey-black-023hrb2000056,2026-07-16
BAYTI-0223,BATCH-09,Tallo High Back Office Chair with Massage - Black,Pan Home,Home office,Office chair,Pan Home Saudi Arabia,Saudi Arabia,051NEL1800115,,,,,https://www.panhomestores.com/ksa_en/tallo-high-back-office-chair-with-massage-black-051nel1800115,2026-07-16
BAYTI-0224,BATCH-09,Corien Accent Chair,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033AMY1700077,,,,,https://www.panhomestores.com/ksa_en/corien-accent-chair-033amy1700077,2026-07-16
BAYTI-0225,BATCH-09,Risdon Coffee Table - Grey,Pan Home,Living room,Coffee table,Pan Home Saudi Arabia,Saudi Arabia,041ZDE0800050,,,,,https://www.panhomestores.com/ksa_en/risdon-coffee-table-grey-041zde0800050,2026-07-16
BAYTI-0226,BATCH-09,Orion Modular 6-Seater Dining Table - Black/Black,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,011BUNDLESSK45,,,,,https://www.panhomestores.com/ksa_en/orion-modular-dining-table-leg-veneer-with-6-seater-dining-table-top-black-black-011bundlessk45,2026-07-16
BAYTI-0227,BATCH-09,Spectra High Back Office Chair - Black,Pan Home,Home office,Office chair,Pan Home Saudi Arabia,Saudi Arabia,051AGB1800007,,,,,https://www.panhomestores.com/ksa_en/spectra-high-back-office-chair-black-051agb1800007,2026-07-16
BAYTI-0228,BATCH-09,Karpos Accent Chair,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033ALJ1000010,,,,,https://www.panhomestores.com/ksa_en/karpos-accent-chair-033alj0800008-parent,2026-07-16
BAYTI-0229,BATCH-09,Milano 1+2 Coffee Table Set,Pan Home,Living room,Coffee table set,Pan Home Saudi Arabia,Saudi Arabia,041XGD1900123,,,,,https://www.panhomestores.com/ksa_en/milano-1-2-coffee-table-set-041xgd1900123,2026-07-16
BAYTI-0230,BATCH-09,Orion Modular 6-Seater Dining Table with Marble Top - Black/White,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,011BUNDLESSK41,,,,,https://www.panhomestores.com/ksa_en/orion-modular-dining-table-leg-veneer-with-6-seater-dining-table-marble-top-black-white-011bundlessk41,2026-07-16
BAYTI-0231,BATCH-09,Ergoflex Medium Back Office Chair - Beige,Pan Home,Home office,Office chair,Pan Home Saudi Arabia,Saudi Arabia,051UFC1800032,,,,,https://www.panhomestores.com/ksa_en/ergoflex-medium-back-office-chair-beige-051ufc1800032,2026-07-16
BAYTI-0232,BATCH-09,Mood Accent Chair,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033ZXC1400012,,,,,https://www.panhomestores.com/ksa_en/mood-accent-chair-033zxc1400012-parent,2026-07-16
BAYTI-0233,BATCH-09,Roblox Coffee Table and 2 End Tables Set - Beige,Pan Home,Living room,Coffee table set,Pan Home Saudi Arabia,Saudi Arabia,041BWF1000266,,,,,https://www.panhomestores.com/ksa_en/roblox-coffee-table-2-end-table-set-beige-041bwf1000266,2026-07-16
BAYTI-0234,BATCH-09,Bilbao 8 Seater Dining Table - Dark Brown,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023KHF3000005,,,,,https://www.panhomestores.com/ksa_en/bilbao-8-seater-dining-table-solid-pine-oak-veneer-dark-brown-023khf3000005,2026-07-16
BAYTI-0235,BATCH-09,Spinepro Medium Back Office Chair - Black,Pan Home,Home office,Office chair,Pan Home Saudi Arabia,Saudi Arabia,051UFC1800035,,,,,https://www.panhomestores.com/ksa_en/spinepro-medium-back-office-chair-black-051ufc1800035,2026-07-16
BAYTI-0236,BATCH-09,Opalyn Accent Chair - Beige,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033AON1000020,,,,,https://www.panhomestores.com/ksa_en/opalyn-accent-chair-beige-033aon1000020-parent,2026-07-16
BAYTI-0237,BATCH-09,Kaci Lift Top Coffee Table - Natural White,Pan Home,Living room,Coffee table,Pan Home Saudi Arabia,Saudi Arabia,054FGW0500002,,,,,https://www.panhomestores.com/ksa_en/kaci-lift-top-coffee-table-natural-white-054fgw0500002,2026-07-16
BAYTI-0238,BATCH-09,Nara 4 Seater Dining Table - Dark Brown,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,032LNJ3000013,,,,,https://www.panhomestores.com/ksa_en/nara-4-seater-dining-table-oak-veneer-dark-brown-032lnj3000013,2026-07-16
BAYTI-0239,BATCH-09,Oslo Low Back Office Chair - Brown,Pan Home,Home office,Office chair,Pan Home Saudi Arabia,Saudi Arabia,051LZY1900008,,,,,https://www.panhomestores.com/ksa_en/oslo-low-back-office-chair-brown-051lzy1900008,2026-07-16
BAYTI-0240,BATCH-09,Grap Accent Chair - Brown,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033JSN1900256,,,,,https://www.panhomestores.com/ksa_en/grap-accent-chair-brown-033jsn1900256,2026-07-16
BAYTI-0241,BATCH-09,Ciso Coffee Table Veneer - Grey Natural,Pan Home,Living room,Coffee table,Pan Home Saudi Arabia,Saudi Arabia,041PIV2000008,,,,,https://www.panhomestores.com/ksa_en/ciso-coffee-table-veneer-grey-natural-041piv2000008,2026-07-16
BAYTI-0242,BATCH-09,Ankara V1 6 Seater Dining Table - White & Brown,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023IFI0800072,,,,,https://www.panhomestores.com/ksa_en/ankara-v1-6-seater-dining-table-marble-white-brown-023ifi0800072,2026-07-16
BAYTI-0243,BATCH-09,Luno High Back Office Chair - Black,Pan Home,Home office,Office chair,Pan Home Saudi Arabia,Saudi Arabia,051LZY1800005,,,,,https://www.panhomestores.com/ksa_en/luno-high-back-office-chair-black-051lzy1800005,2026-07-16
