product_id,batch_id,name,brand,category,subcategory,retailer,market,article_number,price,currency,dimensions,availability,official_url,verified_on
BAYTI-0367,BATCH-14,Napoli 1+2 Coffee Table Set - Brown,Pan Home,Living room,Coffee table set,Pan Home Saudi Arabia,Saudi Arabia,041XGD1900121,,,,,https://www.panhomestores.com/ksa_en/napoli-1-2-coffee-table-set-brown-041xgd1900121,2026-07-16
BAYTI-0368,BATCH-14,Sawyer Coffee Table Set of 2 Travertine - Natural & Black,Pan Home,Living room,Coffee table set,Pan Home Saudi Arabia,Saudi Arabia,041LWC0500020,,,,,https://www.panhomestores.com/ksa_en/sawyer-coffee-table-set-of-2-travertine-natural-black-041lwc0500020,2026-07-16
BAYTI-0369,BATCH-14,Hazar 1+2 Coffee Table Set,Pan Home,Living room,Coffee table set,Pan Home Saudi Arabia,Saudi Arabia,041XGD1000119,,,,,https://www.panhomestores.com/ksa_en/hazar-1-2-coffee-table-set-041xgd1000119,2026-07-16
BAYTI-0370,BATCH-14,Maddox Coffee Table Set of 2 Travertine - Natural & Brown,Pan Home,Living room,Coffee table set,Pan Home Saudi Arabia,Saudi Arabia,041LWC0500021,,,,,https://www.panhomestores.com/ksa_en/maddox-coffee-table-set-of-2-travertine-natural-brown-041lwc0500021,2026-07-16
BAYTI-0371,BATCH-14,Nilamey Coffee Table Veneer - Brown & White,Pan Home,Living room,Coffee table,Pan Home Saudi Arabia,Saudi Arabia,041ULF1900001,,,,,https://www.panhomestores.com/ksa_en/nilamey-coffee-table-veneer-brown-white-041ulf1900001,2026-07-16
BAYTI-0372,BATCH-14,Nior 1+2 Coffee Table Set - Brown,Pan Home,Living room,Coffee table set,Pan Home Saudi Arabia,Saudi Arabia,041XGD1900117,,,,,https://www.panhomestores.com/ksa_en/nior-1-2-coffee-tabe-set-brown-041xgd1900117,2026-07-16
BAYTI-0373,BATCH-14,Angelina Coffee Table - White Champagne,Pan Home,Living room,Coffee table,Pan Home Saudi Arabia,Saudi Arabia,041JFC0800003,,,,,https://www.panhomestores.com/ksa_en/angelina-coffee-table-white-champange-041jfc0800003,2026-07-16
BAYTI-0374,BATCH-14,"MÄVINN Rug, flatwoven, yellow/stripe pattern, 70x200 cm",IKEA,Soft furnishings,Rug,IKEA Saudi Arabia,Saudi Arabia,106.151.21,,,,,https://www.ikea.com/sa/en/p/maevinn-rug-flatwoven-yellow-stripe-pattern-10615121/,2026-07-16
BAYTI-0375,BATCH-14,"HUSSPARV Rug, green, 100x133 cm",IKEA,Soft furnishings,Rug,IKEA Saudi Arabia,Saudi Arabia,706.150.62,,,,,https://www.ikea.com/sa/en/p/hussparv-rug-green-70615062/,2026-07-16
BAYTI-0376,BATCH-14,"HOVET Mirror, aluminium, 78x196 cm",IKEA,Home decor,Mirror,IKEA Saudi Arabia,Saudi Arabia,500.382.13,,,,,https://www.ikea.com/sa/en/p/hovet-mirror-aluminium-50038213/,2026-07-16
BAYTI-0377,BATCH-14,"ALVINE SPETS Net curtains, 1 pair, off-white, 145x300 cm",IKEA,Soft furnishings,Curtains,IKEA Saudi Arabia,Saudi Arabia,800.707.63,,,,,https://www.ikea.com/sa/en/p/alvine-spets-net-curtains-1-pair-off-white-with-rod-pocket-80070763/,2026-07-16
BAYTI-0378,BATCH-14,"MICKE Desk, white, 105x50 cm",IKEA,Home office,Desk,IKEA Saudi Arabia,Saudi Arabia,802.130.74,,,,,https://www.ikea.com/sa/en/p/micke-desk-white-80213074/,2026-07-16
BAYTI-0379,BATCH-14,"LOHALS Rug, flatwoven, natural, 160x230 cm",IKEA,Soft furnishings,Rug,IKEA Saudi Arabia,Saudi Arabia,502.773.93,,,,,https://www.ikea.com/sa/en/p/lohals-rug-flatwoven-natural-50277393/,2026-07-16
BAYTI-0380,BATCH-14,"NISSEDAL Mirror, black, 40x150 cm",IKEA,Home decor,Mirror,IKEA Saudi Arabia,Saudi Arabia,303.203.21,,,,,https://www.ikea.com/sa/en/p/nissedal-mirror-black-30320321/,2026-07-16
BAYTI-0381,BATCH-14,"TIBAST Curtains, 1 pair, white, 145x300 cm",IKEA,Soft furnishings,Curtains,IKEA Saudi Arabia,Saudi Arabia,103.967.60,,,,,https://www.ikea.com/sa/en/p/tibast-curtains-1-pair-white-with-heading-tape-10396760/,2026-07-16
BAYTI-0382,BATCH-14,"UTMANING Gaming desk, black, 120x80 cm",IKEA,Home office,Gaming desk,IKEA Saudi Arabia,Saudi Arabia,295.717.06,,,,,https://www.ikea.com/sa/en/p/utmaning-gaming-desk-black-s29571706/,2026-07-16
BAYTI-0383,BATCH-14,"SORTSÖ Rug, flatwoven, unbleached, 55x85 cm",IKEA,Soft furnishings,Rug,IKEA Saudi Arabia,Saudi Arabia,704.185.18,,,,,https://www.ikea.com/sa/en/p/sortsoe-rug-flatwoven-unbleached-70418518/,2026-07-16
BAYTI-0384,BATCH-14,"LÄRBRO Mirror, 48x60 cm",IKEA,Home decor,Mirror,IKEA Saudi Arabia,Saudi Arabia,406.017.78,,,,,https://www.ikea.com/sa/en/p/laerbro-mirror-40601778/,2026-07-16
BAYTI-0385,BATCH-14,"MÄVINN Curtains, 1 pair, black/white/green, 110x300 cm",IKEA,Soft furnishings,Curtains,IKEA Saudi Arabia,Saudi Arabia,606.199.61,,,,,https://www.ikea.com/sa/en/p/maevinn-curtains-1-pair-black-white-stripe-green-60619961/,2026-07-16
BAYTI-0386,BATCH-14,"MALM Desk, white, 140x65 cm",IKEA,Home office,Desk,IKEA Saudi Arabia,Saudi Arabia,602.141.59,,,,,https://www.ikea.com/sa/en/p/malm-desk-white-60214159/,2026-07-16
