product_id,batch_id,name,brand,category,subcategory,retailer,market,article_number,price,currency,dimensions,availability,official_url,verified_on
BAYTI-0157,BATCH-07,"NORDKISA Bedside table, bamboo, 40x40 cm",IKEA,Bedroom,Bedside table,IKEA Saudi Arabia,Saudi Arabia,604.476.77,,,,,https://www.ikea.com/sa/en/p/nordkisa-bedside-table-bamboo-60447677/,2026-07-16
BAYTI-0158,BATCH-07,"GILLERSBERG Bedside table, bamboo/white, 39x39x56 cm",IKEA,Bedroom,Bedside table,IKEA Saudi Arabia,Saudi Arabia,306.089.83,,,,,https://www.ikea.com/sa/en/p/gillersberg-bedside-table-bamboo-white-30608983/,2026-07-16
BAYTI-0159,BATCH-07,"SONGESAND Bedside table, brown, 42x40 cm",IKEA,Bedroom,Bedside table,IKEA Saudi Arabia,Saudi Arabia,703.674.44,,,,,https://www.ikea.com/sa/en/p/songesand-bedside-table-brown-70367444/,2026-07-16
BAYTI-0160,BATCH-07,"TONSTAD Bedside table, off-white, 40x40x59 cm",IKEA,Bedroom,Bedside table,IKEA Saudi Arabia,Saudi Arabia,805.100.07,,,,,https://www.ikea.com/sa/en/p/tonstad-bedside-table-off-white-80510007/,2026-07-16
BAYTI-0161,BATCH-07,"TONSTAD Bedside table, brown stained oak veneer, 40x40x59 cm",IKEA,Bedroom,Bedside table,IKEA Saudi Arabia,Saudi Arabia,404.893.19,,,,,https://www.ikea.com/sa/en/p/tonstad-bedside-table-brown-stained-oak-veneer-40489319/,2026-07-16
BAYTI-0162,BATCH-07,"NORDLI Chest of 2 drawers, white, 40x54 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,092.398.27,,,,,https://www.ikea.com/sa/en/p/nordli-chest-of-2-drawers-white-s09239827/,2026-07-16
BAYTI-0163,BATCH-07,"MALM Chest of 2 drawers, black-brown, 40x55 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,001.033.43,,,,,https://www.ikea.com/sa/en/p/malm-chest-of-2-drawers-black-brown-00103343/,2026-07-16
BAYTI-0164,BATCH-07,"MALM Chest of 2 drawers, white, 40x55 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,906.253.19,,,,,https://www.ikea.com/sa/en/p/malm-chest-of-2-drawers-white-90625319/,2026-07-16
BAYTI-0165,BATCH-07,"HEMNES Chest of 2 drawers, white stain, 54x66 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,802.426.27,,,,,https://www.ikea.com/sa/en/p/hemnes-chest-of-2-drawers-white-stain-80242627/,2026-07-16
BAYTI-0166,BATCH-07,"KULLEN Chest of 2 drawers, black-brown, 35x49 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,603.221.30,,,,,https://www.ikea.com/sa/en/p/kullen-chest-of-2-drawers-black-brown-60322130/,2026-07-16
BAYTI-0167,BATCH-07,"BLÄSTÅSEN Bedside table, white, 50x37x76 cm",IKEA,Bedroom,Bedside table,IKEA Saudi Arabia,Saudi Arabia,005.950.67,,,,,https://www.ikea.com/sa/en/p/blaestasen-bedside-table-white-00595067/,2026-07-16
BAYTI-0168,BATCH-07,"BLÄSTÅSEN Bedside table, black, 50x37x76 cm",IKEA,Bedroom,Bedside table,IKEA Saudi Arabia,Saudi Arabia,906.175.69,,,,,https://www.ikea.com/sa/en/p/blaestasen-bedside-table-black-90617569/,2026-07-16
BAYTI-0169,BATCH-07,"HAUGA Bedside table, white, 40x36 cm",IKEA,Bedroom,Bedside table,IKEA Saudi Arabia,Saudi Arabia,004.889.63,,,,,https://www.ikea.com/sa/en/p/hauga-bedside-table-white-00488963/,2026-07-16
BAYTI-0170,BATCH-07,"GULLABERG Bedside table with 1 drawer and shelf, grey, 53x43x69 cm",IKEA,Bedroom,Bedside table,IKEA Saudi Arabia,Saudi Arabia,605.617.43,,,,,https://www.ikea.com/sa/en/p/gullaberg-bedside-table-with-1-drawer-with-shelf-grey-60561743/,2026-07-16
BAYTI-0171,BATCH-07,"GULLABERG Bedside table with 1 drawer and shelf, white, 53x43x69 cm",IKEA,Bedroom,Bedside table,IKEA Saudi Arabia,Saudi Arabia,205.617.40,,,,,https://www.ikea.com/sa/en/p/gullaberg-bedside-table-with-1-drawer-with-shelf-white-20561740/,2026-07-16
BAYTI-0172,BATCH-07,"KULLEN Chest of 6 drawers, white, 140x40x72 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,903.092.45,,,,,https://www.ikea.com/sa/en/p/kullen-chest-of-6-drawers-white-90309245/,2026-07-16
BAYTI-0173,BATCH-07,"IDANÄS Chest of 6 drawers, white, 162x95 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,104.587.10,,,,,https://www.ikea.com/sa/en/p/idanaes-chest-of-6-drawers-white-10458710/,2026-07-16
BAYTI-0174,BATCH-07,"IDANÄS Chest of 6 drawers, dark brown stained, 162x95 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,304.587.14,,,,,https://www.ikea.com/sa/en/p/idanaes-chest-of-6-drawers-dark-brown-stained-30458714/,2026-07-16
BAYTI-0175,BATCH-07,"KILBERGET Chest of 6 drawers, white, 144x78 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,206.099.16,,,,,https://www.ikea.com/sa/en/p/kilberget-chest-of-6-drawers-white-20609916/,2026-07-16
BAYTI-0176,BATCH-07,"KULLEN Chest of 5 drawers, black-brown, 70x40x112 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,403.936.61,,,,,https://www.ikea.com/sa/en/p/kullen-chest-of-5-drawers-black-brown-40393661/,2026-07-16
BAYTI-0177,BATCH-07,"GULLABERG Chest of 8 drawers, white, 168x48x100 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,206.099.02,,,,,https://www.ikea.com/sa/en/p/gullaberg-chest-of-8-drawers-white-20609902/,2026-07-16
BAYTI-0178,BATCH-07,"GULLABERG Chest of 8 drawers, grey, 168x48x100 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,406.099.01,,,,,https://www.ikea.com/sa/en/p/gullaberg-chest-of-8-drawers-grey-40609901/,2026-07-16
BAYTI-0179,BATCH-07,"HEMNES Chest of 8 drawers, grey stained, 160x96 cm",IKEA,Bedroom,Chest of drawers,IKEA Saudi Arabia,Saudi Arabia,303.924.69,,,,,https://www.ikea.com/sa/en/p/hemnes-chest-of-8-drawers-grey-stained-30392469/,2026-07-16
