product_id,batch_id,name,brand,category,subcategory,retailer,market,article_number,price,currency,dimensions,availability,official_url,verified_on
BAYTI-0097,BATCH-05,"SLATTUM Upholstered bed frame, Vissle dark grey, 140x200 cm",IKEA,Bedroom,Bed frame,IKEA Saudi Arabia,Saudi Arabia,005.712.45,,,,,https://www.ikea.com/sa/en/p/slattum-upholstered-bed-frame-vissle-dark-grey-00571245/,2026-07-16
BAYTI-0098,BATCH-05,"KLEPPSTAD Bed frame, white/Vissle beige, 140x200 cm",IKEA,Bedroom,Bed frame,IKEA Saudi Arabia,Saudi Arabia,004.926.77,,,,,https://www.ikea.com/sa/en/p/kleppstad-bed-frame-white-vissle-beige-00492677/,2026-07-16
BAYTI-0099,BATCH-05,"NEIDEN Bed frame, pine, 140x200 cm",IKEA,Bedroom,Bed frame,IKEA Saudi Arabia,Saudi Arabia,703.952.39,,,,,https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-70395239/,2026-07-16
BAYTI-0100,BATCH-05,"MALM Bed frame, high, white, 140x200 cm",IKEA,Bedroom,Bed frame,IKEA Saudi Arabia,Saudi Arabia,299.315.96,,,,,https://www.ikea.com/sa/en/p/malm-bed-frame-high-white-s29931596/,2026-07-16
BAYTI-0101,BATCH-05,"BRIMNES Bed frame with storage and headboard, white, 160x200 cm",IKEA,Bedroom,Storage bed,IKEA Saudi Arabia,Saudi Arabia,590.991.55,,,,,https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-s59099155/,2026-07-16
BAYTI-0102,BATCH-05,"RAMNEFJÄLL Upholstered bed frame, Kilanda light beige, 160x200 cm",IKEA,Bedroom,Bed frame,IKEA Saudi Arabia,Saudi Arabia,695.527.44,,,,,https://www.ikea.com/sa/en/p/ramnefjaell-upholstered-bed-frame-kilanda-light-beige-s69552744/,2026-07-16
BAYTI-0103,BATCH-05,"IDANÄS Bed frame, white, 140x200 cm",IKEA,Bedroom,Bed frame,IKEA Saudi Arabia,Saudi Arabia,904.588.91,,,,,https://www.ikea.com/sa/en/p/idanaes-bed-frame-white-90458891/,2026-07-16
BAYTI-0104,BATCH-05,"IDANÄS Upholstered bed frame, Naggen beige, 140x200 cm",IKEA,Bedroom,Bed frame,IKEA Saudi Arabia,Saudi Arabia,605.880.64,,,,,https://www.ikea.com/sa/en/p/idanaes-upholstered-bed-frame-naggen-beige-60588064/,2026-07-16
BAYTI-0105,BATCH-05,"VIHALS Bed frame, white, 160x200 cm",IKEA,Bedroom,Bed frame,IKEA Saudi Arabia,Saudi Arabia,606.024.42,,,,,https://www.ikea.com/sa/en/p/vihals-bed-frame-white-60602442/,2026-07-16
BAYTI-0106,BATCH-05,"VIHALS Bed frame with 1 trundle bed, white/Luröy, 140x200 cm",IKEA,Bedroom,Trundle bed,IKEA Saudi Arabia,Saudi Arabia,095.820.27,,,,,https://www.ikea.com/sa/en/p/vihals-bed-frame-with-1-trundle-bed-white-luroey-s09582027/,2026-07-16
BAYTI-0107,BATCH-05,"SLATTUM Upholstered bed frame with headboard slipcover, 180x200 cm",IKEA,Bedroom,Bed frame,IKEA Saudi Arabia,Saudi Arabia,896.134.78,,,,,https://www.ikea.com/sa/en/p/slattum-upholstered-bed-frame-vissle-dark-grey-incl-slipcover-for-headboard-oereryd-grey-beige-s89613478/,2026-07-16
BAYTI-0108,BATCH-05,"TÄLLÅSEN Upholstered bed frame, Kulsta grey-green, 140x200 cm",IKEA,Bedroom,Bed frame,IKEA Saudi Arabia,Saudi Arabia,605.389.22,,,,,https://www.ikea.com/sa/en/p/taellasen-upholstered-bed-frame-kulsta-grey-green-60538922/,2026-07-16
BAYTI-0109,BATCH-05,"STJÄRNÖ Bed frame, white/Lönset, 140x200 cm",IKEA,Bedroom,Bed frame,IKEA Saudi Arabia,Saudi Arabia,195.633.73,,,,,https://www.ikea.com/sa/en/p/stjaernoe-bed-frame-white-loenset-s19563373/,2026-07-16
