product_id,batch_id,name,brand,category,subcategory,retailer,market,article_number,price,currency,dimensions,availability,official_url,verified_on
BAYTI-0247,BATCH-10,Balance Medium Back Office Chair - Grey,Pan Home,Home office,Office chair,Pan Home Saudi Arabia,Saudi Arabia,051LZY2000004,,,,,https://www.panhomestores.com/ksa_en/balance-medium-back-office-chair-grey-051lzy2000004,2026-07-16
BAYTI-0248,BATCH-10,Fate Accent Chair - Orange,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033NGM1700042,,,,,https://www.panhomestores.com/ksa_en/fate-accent-chair-orange-033ngm1700042-parent,2026-07-16
BAYTI-0249,BATCH-10,Almada 6 Seater Dining Table - White,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023SFI0800230,,,,,https://www.panhomestores.com/ksa_en/almada-6-seater-dining-table-white-023sfi0800230,2026-07-16
BAYTI-0250,BATCH-10,Tiller Office Chair - Grey,Pan Home,Home office,Office chair,Pan Home Saudi Arabia,Saudi Arabia,051MCA2000003,,,,,https://www.panhomestores.com/ksa_en/tiller-office-chair-black-051mca1800002-parent,2026-07-16
BAYTI-0251,BATCH-10,Jimmy Accent Chair,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033ZXC2000021,,,,,https://www.panhomestores.com/ksa_en/jimmy-accent-chair-033zxc2000021,2026-07-16
BAYTI-0252,BATCH-10,Navath 8 Seater Dining Table - Brown & Black,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023AGE1900001,,,,,https://www.panhomestores.com/ksa_en/navath-8-seater-dining-table-solid-wood-brown-black-023age1900001,2026-07-16
BAYTI-0253,BATCH-10,Domnion Medium Back Office Chair - Black,Pan Home,Home office,Office chair,Pan Home Saudi Arabia,Saudi Arabia,051LZY1800002,,,,,https://www.panhomestores.com/ksa_en/domnion-medium-back-office-chair-black-051lzy1800002,2026-07-16
BAYTI-0254,BATCH-10,Kasbah E14 Table Lamp - White,Pan Home,Lighting,Table lamp,Pan Home Saudi Arabia,Saudi Arabia,181ATO9900272,,,,,https://www.panhomestores.com/ksa_en/kasbah-e14-table-lamp-d20x19cm-white-181ato9900272,2026-07-16
BAYTI-0255,BATCH-10,Mermax E27 Marble Base Floor Lamp - Satin Brass/Green,Pan Home,Lighting,Floor lamp,Pan Home Saudi Arabia,Saudi Arabia,181ATO9901215,,,,,https://www.panhomestores.com/ksa_en/mermax-e27-marble-base-floor-lamp-with-pull-switch-42x165cm-satin-brass-green-181ato9901215,2026-07-16
BAYTI-0256,BATCH-10,Tripod E27 Table Lamp - Brown,Pan Home,Lighting,Table lamp,Pan Home Saudi Arabia,Saudi Arabia,181AIC9901877,,,,,https://www.panhomestores.com/ksa_en/tripod-e27-table-lamp-dia30x51cm-brown-181aic9901877,2026-07-16
BAYTI-0257,BATCH-10,Cordoba E27 Floor Lamp - Gold,Pan Home,Lighting,Floor lamp,Pan Home Saudi Arabia,Saudi Arabia,181PGI9900088,,,,,https://www.panhomestores.com/ksa_en/cordoba-e27-floor-lamp-25-4x15-7x129-5cm-gold-181pgi9900088,2026-07-16
BAYTI-0258,BATCH-10,Erin E14 Table Lamp - White,Pan Home,Lighting,Table lamp,Pan Home Saudi Arabia,Saudi Arabia,181ATO9900268,,,,,https://www.panhomestores.com/ksa_en/erin-e14-table-lamp-d10x20cm-white-181ato9900268,2026-07-16
BAYTI-0259,BATCH-10,Cerah E27 Abaca Floor Lamp - Natural,Pan Home,Lighting,Floor lamp,Pan Home Saudi Arabia,Saudi Arabia,181PLC9900037,,,,,https://www.panhomestores.com/ksa_en/cerah-e27-abaca-floor-lamp-dia-45x153cm-natural-181plc9900037,2026-07-16
BAYTI-0260,BATCH-10,Glaze E27 Table Lamp - Gold,Pan Home,Lighting,Table lamp,Pan Home Saudi Arabia,Saudi Arabia,181ATO9900143,,,,,https://www.panhomestores.com/ksa_en/glaze-e27-table-lamp-23x15x29cm-gold-181ato9900143,2026-07-16
BAYTI-0261,BATCH-10,Salerno Sideboard with 2 Doors and 3 Drawers - Natural & Silver,Pan Home,Dining room,Sideboard,Pan Home Saudi Arabia,Saudi Arabia,025EIE0500008,,,,,https://www.panhomestores.com/ksa_en/salerno-sideboard-with-2-door-3-drawer-solid-wood-natural-silver-025eie0500008,2026-07-16
BAYTI-0262,BATCH-10,Boska End Table - Grey Silver,Pan Home,Living room,End table,Pan Home Saudi Arabia,Saudi Arabia,041JCT2000035,,,,,https://www.panhomestores.com/ksa_en/boska-end-table-grey-silver-041jct2000035,2026-07-16
BAYTI-0263,BATCH-10,Azulite Sideboard with Mirror - Beige,Pan Home,Dining room,Sideboard,Pan Home Saudi Arabia,Saudi Arabia,025AAM1000091,,,,,https://www.panhomestores.com/ksa_en/azulite-sideboard-with-mirror-beige-025aam1000091,2026-07-16
BAYTI-0264,BATCH-10,Novaglow 5-Lights Floor Lamp - Smoke Grey,Pan Home,Lighting,Floor lamp,Pan Home Saudi Arabia,Saudi Arabia,181AIC9902460,,,,,https://www.panhomestores.com/ksa_en/novaglow-5-lights-e-14-floor-lamp-160x80x200cm-smoke-grey-181aic9902460,2026-07-16
