product_id,batch_id,name,brand,category,subcategory,retailer,market,article_number,price,currency,dimensions,availability,official_url,verified_on
BAYTI-0067,BATCH-04,"LACK Coffee table, white, 90x55 cm",IKEA,Living room,Coffee table,IKEA Saudi Arabia,Saudi Arabia,904.499.05,,,,,https://www.ikea.com/sa/en/p/lack-coffee-table-white-90449905/,2026-07-16
BAYTI-0068,BATCH-04,"KRAGSTA Coffee table, black, 90 cm",IKEA,Living room,Coffee table,IKEA Saudi Arabia,Saudi Arabia,802.622.53,,,,,https://www.ikea.com/sa/en/p/kragsta-coffee-table-black-80262253/,2026-07-16
BAYTI-0069,BATCH-04,"LACK Coffee table, black-brown, 90x55 cm",IKEA,Living room,Coffee table,IKEA Saudi Arabia,Saudi Arabia,401.042.94,,,,,https://www.ikea.com/sa/en/p/lack-coffee-table-black-brown-40104294/,2026-07-16
BAYTI-0070,BATCH-04,"ÄMMARYD Coffee table, white, 98x59 cm",IKEA,Living room,Coffee table,IKEA Saudi Arabia,Saudi Arabia,006.091.25,,,,,https://www.ikea.com/sa/en/p/aemmaryd-coffee-table-white-00609125/,2026-07-16
BAYTI-0071,BATCH-04,"UGGLERUM Coffee table, walnut veneer, 130x65 cm",IKEA,Living room,Coffee table,IKEA Saudi Arabia,Saudi Arabia,606.279.80,,,,,https://www.ikea.com/sa/en/p/ugglerum-coffee-table-walnut-veneer-60627980/,2026-07-16
BAYTI-0072,BATCH-04,"VALNÄS Coffee table, oak veneer, 118x72 cm",IKEA,Living room,Coffee table,IKEA Saudi Arabia,Saudi Arabia,206.280.38,,,,,https://www.ikea.com/sa/en/p/valnaes-coffee-table-oak-veneer-20628038/,2026-07-16
BAYTI-0073,BATCH-04,"VITTSJÖ Coffee table, light beige/glass, 75 cm",IKEA,Living room,Coffee table,IKEA Saudi Arabia,Saudi Arabia,306.043.48,,,,,https://www.ikea.com/sa/en/p/vittsjoe-coffee-table-light-beige-glass-30604348/,2026-07-16
BAYTI-0074,BATCH-04,"LACK Coffee table, black-brown, 118x78 cm",IKEA,Living room,Coffee table,IKEA Saudi Arabia,Saudi Arabia,001.042.91,,,,,https://www.ikea.com/sa/en/p/lack-coffee-table-black-brown-00104291/,2026-07-16
BAYTI-0075,BATCH-04,"TONSTAD Coffee table, off-white, 84x82 cm",IKEA,Living room,Coffee table,IKEA Saudi Arabia,Saudi Arabia,904.915.60,,,,,https://www.ikea.com/sa/en/p/tonstad-coffee-table-off-white-90491560/,2026-07-16
BAYTI-0076,BATCH-04,"ÖKENSAND Floor lamp, beech/white",IKEA,Lighting,Floor lamp,IKEA Saudi Arabia,Saudi Arabia,005.415.31,,,,,https://www.ikea.com/sa/en/p/oekensand-floor-lamp-beech-white-00541531/,2026-07-16
BAYTI-0077,BATCH-04,"LAUTERS Floor lamp, brown ash/white",IKEA,Lighting,Floor lamp,IKEA Saudi Arabia,Saudi Arabia,804.059.40,,,,,https://www.ikea.com/sa/en/p/lauters-floor-lamp-brown-ash-white-80405940/,2026-07-16
BAYTI-0078,BATCH-04,"UPPVIND Floor lamp, brass-plated/white",IKEA,Lighting,Floor lamp,IKEA Saudi Arabia,Saudi Arabia,604.882.91,,,,,https://www.ikea.com/sa/en/p/uppvind-floor-lamp-brass-plated-white-60488291/,2026-07-16
