product_id,batch_id,name,brand,category,subcategory,retailer,market,article_number,price,currency,dimensions,availability,official_url,verified_on
BAYTI-0307,BATCH-12,OPULENT Massage Chair - Beige,Pan Home,Living room,Massage chair,Pan Home Saudi Arabia,Saudi Arabia,033FWL2500005,,,,,https://www.panhomestores.com/ksa_en/opulent-massage-chair-with-4d-massage-mechanism-and-in-built-bluetooth-speaker-back-healing-beige-033fwl2500005,2026-07-16
BAYTI-0308,BATCH-12,BALANCE-SEAT Lounge Chair - Beige,Pan Home,Living room,Lounge chair,Pan Home Saudi Arabia,Saudi Arabia,033WSK1000004,,,,,https://www.panhomestores.com/ksa_en/balance-seat-lounge-chair-beige-033wsk1000004,2026-07-16
BAYTI-0309,BATCH-12,AURELIA Massage Chair - Beige,Pan Home,Living room,Massage chair,Pan Home Saudi Arabia,Saudi Arabia,033FWL0800003,,,,,https://www.panhomestores.com/ksa_en/aurelia-massage-chair-with-3d-massage-mechanism-and-in-built-bluetooth-speaker-back-healing-beige-033fwl0800003,2026-07-16
BAYTI-0310,BATCH-12,ELYSIUM Massage Chair - Beige,Pan Home,Living room,Massage chair,Pan Home Saudi Arabia,Saudi Arabia,033FWL2500004,,,,,https://www.panhomestores.com/ksa_en/elysium-massage-chair-with-3d-massage-mechanism-and-in-built-bluetooth-speaker-back-healing-beige-033fwl2500004,2026-07-16
BAYTI-0311,BATCH-12,OLAN Swivel Accent Chair - Light Brown,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033CYB1400081,,,,,https://www.panhomestores.com/ksa_en/olan-accent-chair-swivel-light-brown-033cyb1400081-parent,2026-07-16
BAYTI-0312,BATCH-12,BOTOM Accent Chair - White,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033JSN0800252,,,,,https://www.panhomestores.com/ksa_en/botom-accent-chair-white-033jsn0800252,2026-07-16
BAYTI-0313,BATCH-12,AMORE Accent Chair with Ottoman - Beige,Pan Home,Living room,Accent chair set,Pan Home Saudi Arabia,Saudi Arabia,033ZXC1000030,,,,,https://www.panhomestores.com/ksa_en/amore-accent-chair-with-ottoman-beige-033zxc1000030-parent,2026-07-16
BAYTI-0314,BATCH-12,ELDON Accent Chair - Grey,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033AMY2000095,,,,,https://www.panhomestores.com/ksa_en/eldon-accent-chair-033amy2000095,2026-07-16
BAYTI-0315,BATCH-12,ELDON Accent Chair - White,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033AMY0800094,,,,,https://www.panhomestores.com/ksa_en/eldon-accent-chair-033amy0800094,2026-07-16
BAYTI-0316,BATCH-12,KARPOS Accent Chair - Black,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033ALJ1800007,,,,,https://www.panhomestores.com/ksa_en/karpos-accent-chair-black-033alj1800007,2026-07-16
BAYTI-0317,BATCH-12,ASKIM Accent Chair - Brown,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033ZXC1900004,,,,,https://www.panhomestores.com/ksa_en/askim-accent-chair-brown-033zxc1900004,2026-07-16
BAYTI-0318,BATCH-12,LAMY Accent Chair with Ottoman,Pan Home,Living room,Accent chair set,Pan Home Saudi Arabia,Saudi Arabia,033ZXC1900009,,,,,https://www.panhomestores.com/ksa_en/lamy-accent-chair-ottoman-033zxc1900009,2026-07-16
BAYTI-0319,BATCH-12,KARPOS Accent Chair - White,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033ALJ0800014,,,,,https://www.panhomestores.com/ksa_en/karpos-accent-chair-white-033alj0800014,2026-07-16
BAYTI-0320,BATCH-12,KARPOS Accent Chair - Zebra,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033ALJ5800017,,,,,https://www.panhomestores.com/ksa_en/karpos-accent-chair-zebra-033alj5800017-parent,2026-07-16
BAYTI-0321,BATCH-12,KARPOS Accent Chair - Grey,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033ALJ2000015,,,,,https://www.panhomestores.com/ksa_en/karpos-accent-chair-grey-033alj2000015,2026-07-16
BAYTI-0322,BATCH-12,AYLIN Accent Chair - Beige,Pan Home,Living room,Accent chair,Pan Home Saudi Arabia,Saudi Arabia,033JXH1000034,,,,,https://www.panhomestores.com/ksa_en/aylin-accent-chair-beige-033jxh1000034-parent,2026-07-16
